ID;date;species;simp_species;simp_confidence_index;confidence_index;success;manual_check
HC253;20150925;Pipkuh;Pipkuh;0.8;0.754;1;Pipkuh
HC503;20150925;Rhihip;Rhihip;0.8;0.754;1;Rhihip
TEC252;20150924;Pipnat;Pipnat;0.8;0.756;0;Pipkuh
TEA501;20150922;Pipnat;Pipnat;0.8;0.756;1;Pipnat
EB506;20151008;Pipnat;Pipnat;0.8;0.756;1;Pipnat
HB1004;20150923;Pippip;Pippip;0.8;0.756;1;Pippip
TEB501;20150912;Rhifer;Rhifer;0.8;0.756;1;Rhifer
HA251;20151007;Rhihip;Rhihip;0.8;0.756;1;Rhihip
HC5001;20150909;Rhihip;Rhihip;0.8;0.756;1;Rhihip
HC2009;20150928;Rhihip;Rhihip;0.8;0.756;1;Rhihip
HA6002;20150923;Myonat;Myosp;0.8;0.758;1;Myosp
HC4001;20150912;Nycnoc;Nycnoc;0.8;0.758;1;Nycnoc
HB8003;20150922;Pipkuh;Pipkuh;0.8;0.758;1;Pipkuh
HC2005;20150917;Pipkuh;Pipkuh;0.8;0.758;1;Pipkuh
HB504;20150919;Pleaus;Plesp;0.8;0.758;1;Plesp
HB2003;20150913;Rhifer;Rhifer;0.8;0.758;1;Rhifer
HB9006;20151005;Rhihip;Rhihip;0.8;0.758;1;Rhihip
HC10009;20151005;Rhihip;Rhihip;0.8;0.758;1;Rhihip
HC3008;20150925;Rhihip;Rhihip;0.8;0.758;1;Rhihip
HB2003;20150912;Barbar;Barbar;0.8;0.76;1;Barbar
TEB258;20151008;Eptser;Eptser;0.8;0.76;1;Eptser
HC252;20150925;Pipnat;Pipnat;0.8;0.76;1;Pipnat
HC10007;20150927;Pippip;Pippip;0.8;0.76;1;Pippip
HB7007;20151008;Pleaus;Plesp;0.8;0.76;1;Plesp
HA6003;20151007;Rhihip;Rhihip;0.8;0.76;1;Rhihip
HC503;20150925;Rhihip;Rhihip;0.8;0.76;1;Rhihip
HB1001;20150907;Pipkuh;Pipkuh;0.8;0.762;1;Pipkuh
HC3003;20150913;Pipkuh;Pipkuh;0.8;0.762;1;Pipkuh
EB506;20151008;Pipkuh;Pipkuh;0.8;0.762;1;Pipkuh
HC253;20150925;Pipkuh;Pipkuh;0.8;0.762;1;Pipkuh
HC1008;20150926;Rhihip;Rhihip;0.8;0.762;1;Rhihip
EB506;20151008;Pipnat;Pipnat;0.8;0.764;1;Pipnat
EB506;20151008;Pipnat;Pipnat;0.8;0.764;1;Pipnat
