ID;date;species;simp_species;simp_confidence_index;confidence_index;success;manual_check
TEC252;20150924;Pippip;Pippip;1;0.918;1;Pippip
HC8002;20150918;Pleaus;Plesp;1;0.918;1;Plesp
HB10002;20150924;Barbar;Barbar;1;0.92;1;Barbar
EC3003;20150926;Myonat;Myosp;1;0.92;1;Myosp
HB5004;20150924;Myonat;Myosp;1;0.92;1;Myosp
HB5004;20150923;Pippip;Pippip;1;0.92;1;Pippip
HB503;20150919;Barbar;Barbar;1;0.922;1;Barbar
HB505;20150923;Barbar;Barbar;1;0.922;1;Barbar
EC3003;20150926;Myonat;Myosp;1;0.922;1;Myosp
HA2001;20150922;Pippip;Pippip;1;0.922;1;Pippip
