ID;date;distforest;disturban;distwetland;x93;y93;hedgerowlength;edgetype
HB8006;20151005;153.9424244;195.4516267;1153.442561;2.933292581;68.38342333;4519.626264;edge
HB9001;20150908;1098.640123;148.8470514;621.9327735;4.056001421;66.94763507;1899.786252;edge
HB9003;20150923;652.9629103;192.9594217;11.40667614;2.694306102;67.813844;3465.997355;edge
HB9004;20150930;446.3015996;112.4389256;531.2680193;2.606421372;68.23042501;4685.724141;edge
HB9005;20151001;383.6233006;106.9004911;437.4183835;2.343802571;68.399969;3145.525351;edge
HC10002;20150924;389.3049985;548.4176506;141.4673539;2.720291057;67.78031715;2103.8809;edge
HC10003;20150925;689.9917382;182.8272636;625.0232928;2.731522553;67.71739842;6238.60612;edge
HC10006;20150927;1444.101671;380.521901;210.5305342;2.603924937;68.04725664;3507.295893;edge
HC10007;20150927;525.3116583;167.9175976;787.4113048;2.607468265;68.00041108;4392.579092;edge
HC10008;20150928;487.0031783;581.2837325;332.9403899;2.737983047;67.96946776;5219.829986;edge
HC1001;20150909;115.975608;529.7480017;684.4058095;4.108944674;66.86492323;1306.805922;edge
HC10010;20151004;357.422374;477.4702537;1157.859955;2.995932741;68.27265735;2050.548263;edge
HC1003;20150912;1196.384927;91.62126597;469.9124702;4.229538683;66.78304456;2654.697874;edge
HC1004;20150913;697.3411951;208.7882756;527.1502799;4.309613153;66.84862072;4055.361749;edge
HC1006;20150917;1404.320696;375.8754338;247.6467953;3.82944614;67.15446308;1672.219189;edge
HC1009;20150927;799.0516947;325.8710428;220.4251679;2.616145803;68.04743742;3948.196714;edge
HC2002;20150912;1296.88176;156.844932;630.7140377;4.231814397;66.78273612;2820.215248;edge
HC2005;20150916;1575.30994;673.7524986;639.3162943;3.767247412;67.09888877;2753.102864;edge
HC2007;20150917;2361.987349;662.0223954;188.1491439;3.840359844;67.14753346;861.4903717;edge
HC253;20150925;962.0932109;555.7927591;270.2611449;2.706403709;67.77539987;1750.212704;edge
HC254;20150926;340.359844;508.0836685;423.7432177;2.594070671;67.99589481;2878.621042;edge
HC255;20150926;845.26237;436.9947042;208.1515088;2.589153399;67.99472959;3409.764907;edge
HC3006;20150916;1733.290478;78.59404224;115.2207034;3.774201765;67.09748113;873.0963101;edge
HC3007;20150913;1250.008199;330.7214585;978.1325049;4.304038665;66.8475161;2263.901068;edge
HC3009;20151004;454.1616275;250.8760907;1426.360151;2.994940083;68.27522445;1733.427096;edge
HC40010;20150927;316.2527177;157.5371192;245.1865447;2.615997891;68.0426089;3932.162374;edge
HC4003;20150916;1274.001486;482.3574206;644.3662666;3.766730464;67.09557751;2506.611306;edge
HC4004;20150916;1447.269584;524.4180942;803.3310149;3.764977031;67.09866523;2918.99072;edge
HC5002;20150913;1405.939321;205.6372131;1053.876863;4.301788514;66.84653164;3142.683654;edge
HC5004;20150917;2516.882906;533.380933;633.040764;3.842898019;67.15293659;1675.763454;edge
HC5005;20150926;423.5045405;219.7907233;120.4706721;2.600937102;68.00192472;3079.532647;edge
HC5006;20150928;297.8640558;105.633852;315.4949016;2.746673733;67.94471706;5956.835969;edge
HC5007;20151004;394.8378194;201.5706415;872.9922343;3.002608529;68.27228921;1547.877304;edge
HC505;20150926;1055.566108;281.2590214;265.5168062;2.565632011;67.99273441;3193.578697;edge
HC506;20150927;650.0771276;492.8351106;397.6407519;2.569042218;67.99015087;3051.646084;edge
HC507;20150928;390.1701982;232.6040311;247.0252165;2.749145517;67.94922346;2711.614259;edge
HC508;20150928;270.0852157;448.0000406;518.6601526;2.744244679;67.95275693;2362.224489;edge
HC6005;20150928;603.3062935;446.7714667;8.249018879;2.752938653;67.94500631;4570.326834;edge
